Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Table 5. Estimated resident population and components, Local Government Areas, Western Australia",,,,,,,,,,
"Regional population, 2022-23",,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2022-23,,,,
,,2022,2023,2022-23,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2023
LGA code,Local Government Area,no.,no.,no.,%,no.,no.,no.,km2,persons/km2
55530,Mingenew,423,417,-6,-1.4,3,-12,3,1934.9,0.2
55600,Moora,2378,2392,14,0.6,17,-27,24,3763,0.6
55670,Morawa,669,679,10,1.5,6,0,4,3510.6,0.2
55740,Mosman Park,9621,10032,411,4.3,-10,7,414,4.3,2307.7
55810,Mount Magnet,701,701,0,0,1,-6,5,13858.1,0.1
55880,Mount Marshall,463,461,-2,-0.4,5,-10,3,10184.6,0
55950,Mukinbudin,587,600,13,2.2,5,4,4,3426.9,0.2
56090,Mundaring,40517,41421,904,2.2,85,411,408,643.2,64.4
56160,Murchison,108,106,-2,-1.9,0,-3,1,45046.1,0
56230,Murray,19116,19823,707,3.7,57,511,139,1703.5,11.6
56300,Nannup,1593,1632,39,2.4,-2,29,12,3053.9,0.5
56370,Narembeen,822,833,11,1.3,3,-3,11,3809,0.2
56460,Narrogin,4959,4983,24,0.5,-2,-31,57,1631.3,3.1
56580,Nedlands,23018,24127,1109,4.8,-15,7,1117,19.6,1228.2
56620,Ngaanyatjarraku,1478,1479,1,0.1,-5,-5,11,159816,0
56730,Northam,11938,12193,255,2.1,1,189,65,1431.2,8.5
56790,Northampton,3343,3369,26,0.8,0,8,18,12543.7,0.3
56860,Nungarin,261,256,-5,-1.9,0,-7,2,1166,0.2
56930,Peppermint Grove,1638,1736,98,6,-3,30,71,1.1,1625.9
57000,Perenjori,652,649,-3,-0.5,-1,-6,4,8301.4,0.1
57080,Perth,30580,32856,2276,7.4,112,-699,2863,13.7,2392.4
57140,Pingelly,1068,1084,16,1.5,6,4,6,1294.6,0.8
57210,Plantagenet,5587,5669,82,1.5,6,55,21,4876.7,1.2
57280,Port Hedland,17031,17247,216,1.3,193,-171,194,18417.1,0.9
57350,Quairading,983,973,-10,-1,-2,-15,7,2016.9,0.5
57420,Ravensthorpe,2202,2277,75,3.4,21,32,22,9841.8,0.2
57490,Rockingham,143754,148822,5068,3.5,828,1782,2458,257.5,578
57630,Sandstone,119,116,-3,-2.5,0,-4,1,32605.3,0
57700,Serpentine-Jarrahdale,34795,36739,1944,5.6,405,1162,377,901.2,40.8
57770,Shark Bay,1082,1129,47,4.3,7,24,16,24201.5,0
57840,South Perth,45201,46701,1500,3.3,-4,-285,1789,19.8,2357.3
57910,Stirling,236262,243871,7609,3.2,1248,-1053,7414,104.7,2328.6
57980,Subiaco,18008,18870,862,4.8,41,31,790,5.6,3358.7
58050,Swan,163948,171588,7640,4.7,1522,3199,2919,1043,164.5
58190,Tammin,403,404,1,0.2,0,-2,3,1101.7,0.4
58260,Three Springs,587,593,6,1,1,2,3,2656.7,0.2
58330,Toodyay,4814,4954,140,2.9,3,118,19,1691.6,2.9
58400,Trayning,304,303,-1,-0.3,-7,4,2,1651.2,0.2
58470,Upper Gascoyne,188,201,13,6.9,4,6,3,57809.9,0
58510,Victoria Park,38756,40782,2026,5.2,80,-121,2067,17.9,2273.3
58540,Victoria Plains,824,824,0,0,5,-12,7,2551,0.3
58570,Vincent,38504,40125,1621,4.2,106,-153,1668,11.4,3526.8
58610,Wagin,1809,1816,7,0.4,-3,5,5,1946.2,0.9
58680,Wandering,548,545,-3,-0.5,3,-9,3,1903.9,0.3
58760,Wanneroo,221257,229438,8181,3.7,1620,1968,4593,683.3,335.8
58820,Waroona,4401,4457,56,1.3,5,36,15,832.2,5.4
58890,West Arthur,797,787,-10,-1.3,-2,-11,3,2831.8,0.3
59030,Westonia,252,244,-8,-3.2,0,-10,2,3319.4,0.1
59100,Wickepin,706,701,-5,-0.7,4,-14,5,2040.9,0.3
59170,Williams,1053,1060,7,0.7,7,-4,4,2304.7,0.5
59250,Wiluna,572,568,-4,-0.7,-2,-6,4,181297.3,0
59310,Wongan-Ballidu,1340,1336,-4,-0.3,2,-13,7,3365.1,0.4
59320,Woodanilling,470,479,9,1.9,6,-2,5,1128.8,0.4
59330,Wyalkatchem,485,491,6,1.2,-1,5,2,1594.5,0.3
59340,Wyndham-East Kimberley,8064,8209,145,1.8,80,-35,100,112066.3,0.1
59350,Yalgoo,365,357,-8,-2.2,5,-16,3,27949.5,0
59360,Yilgarn,1198,1198,0,0,-1,-9,10,30428.8,0
59370,York,3567,3602,35,1,-22,53,4,2131.6,1.7
,Total Western Australia(a),2791794,2881227,89433,3.2,13548,11630,64255,2526632.5,1.1
51710,Christmas Island,1786,1823,37,2.1,9,0,28,136.1,13.4
51860,Cocos Islands,616,631,15,2.4,7,0,8,13.7,46
(a) Total Western Australia excludes Christmas Island and Cocos Islands,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,
