LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
36660,Southern Downs,36991.0,37444.0,453.0,1.2,-46.0,342.0,157.0,7106.4,5.3
36720,Sunshine Coast,355904.0,365942.0,10038.0,2.8,457.0,4635.0,4946.0,2253.9,162.4
36820,Tablelands,26806.0,27259.0,453.0,1.7,-51.0,349.0,155.0,11292.9,2.4
36910,Toowoomba,178387.0,181821.0,3434.0,1.9,596.0,1347.0,1491.0,12957.2,14.0
36950,Torres,3517.0,3502.0,-15.0,-0.4,27.0,-48.0,6.0,883.7,4.0
36960,Torres Strait Island,4285.0,4286.0,1.0,0.0,57.0,-58.0,2.0,490.0,8.7
37010,Townsville,198134.0,201433.0,3299.0,1.7,1197.0,409.0,1693.0,3730.8,54.0
37300,Weipa,4214.0,4251.0,37.0,0.9,65.0,-53.0,25.0,10.5,406.2
37310,Western Downs,34537.0,34991.0,454.0,1.3,200.0,102.0,152.0,37922.5,0.9
37340,Whitsunday,38509.0,39712.0,1203.0,3.1,116.0,421.0,666.0,23819.0,1.7
37400,Winton,1134.0,1138.0,4.0,0.4,3.0,-4.0,5.0,53813.5,0.0
37550,Woorabinda,1059.0,1081.0,22.0,2.1,13.0,8.0,1.0,390.6,2.8
37570,Wujal Wujal,286.0,293.0,7.0,2.4,15.0,-9.0,1.0,11.8,24.7
37600,Yarrabah,2619.0,2640.0,21.0,0.8,52.0,-32.0,1.0,158.8,16.6
