LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
47980,Unley,39092.0,39929.0,837.0,2.1,-170.0,-187.0,1194.0,14.3,2798.0
48050,Victor Harbor,16721.0,16869.0,148.0,0.9,-147.0,236.0,59.0,384.6,43.9
48130,Wakefield,6969.0,6958.0,-11.0,-0.2,-20.0,-12.0,21.0,3468.5,2.0
48260,Walkerville,8185.0,8420.0,235.0,2.9,-20.0,19.0,236.0,3.5,2385.3
48340,Wattle Range,12178.0,12257.0,79.0,0.6,-1.0,51.0,29.0,3926.2,3.1
48410,West Torrens,63115.0,64519.0,1404.0,2.2,65.0,-764.0,2103.0,37.1,1739.6
48540,Whyalla,21887.0,21902.0,15.0,0.1,12.0,-95.0,98.0,1071.3,20.4
48640,Wudinna,1162.0,1161.0,-1.0,-0.1,1.0,-6.0,4.0,5075.3,0.2
48750,Yankalilla,5991.0,6100.0,109.0,1.8,-26.0,117.0,18.0,751.3,8.1
48830,Yorke Peninsula,11916.0,12040.0,124.0,1.0,-49.0,159.0,14.0,5899.6,2.0
49399,Unincorporated SA,3024.0,3015.0,-9.0,-0.3,0.0,-21.0,12.0,619426.1,0.0
