LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
18020,Warrumbungle,9245.0,9228.0,-17.0,-0.2,-24.0,-28.0,35.0,12372.1,0.7
18050,Waverley,69357.0,71414.0,2057.0,3.0,479.0,-1579.0,3157.0,9.4,7637.4
18100,Weddin,3614.0,3616.0,2.0,0.1,-20.0,-1.0,23.0,3414.9,1.1
18200,Wentworth,7596.0,7688.0,92.0,1.2,11.0,66.0,15.0,26255.9,0.3
18250,Willoughby,75508.0,77874.0,2366.0,3.1,113.0,-1341.0,3594.0,22.4,3472.5
18350,Wingecarribee,52795.0,53109.0,314.0,0.6,-77.0,-45.0,436.0,2689.3,19.7
18400,Wollondilly,55801.0,57616.0,1815.0,3.3,498.0,968.0,349.0,2555.4,22.5
18450,Wollongong,216444.0,219141.0,2697.0,1.2,486.0,-691.0,2902.0,684.3,320.2
18500,Woollahra,53525.0,54660.0,1135.0,2.1,116.0,-910.0,1929.0,12.3,4459.0
18710,Yass Valley,17379.0,17477.0,98.0,0.6,18.0,-20.0,100.0,3995.0,4.4
19399,Unincorporated NSW,1000.0,1013.0,13.0,1.3,8.0,0.0,5.0,93208.9,0.0
