LGA_NAME,ERP_2023
Kentish,6831.0
King Island,1648.0
Kingborough,41179.0
Latrobe (Tas.),13062.0
Launceston,71788.0
Meander Valley,21449.0
Northern Midlands,14279.0
Sorell,17635.0
Southern Midlands,6912.0
Tasman,2686.0
Waratah-Wynyard,14767.0
West Coast,4359.0
West Tamar,26039.0
Total Tasmania,573156.0
Albury,57517.0
Armidale,29594.0
Ballina,47279.0
Balranald,2202.0
Bathurst,44612.0
Bayside (NSW),182987.0
Bega Valley,36279.0
Bellingen,13231.0
Berrigan,8643.0
Blacktown,426202.0
Bland,5464.0
Blayney,7644.0
Blue Mountains,78446.0
Bogan,2420.0
Bourke,2365.0
Brewarrina,1411.0
Broken Hill,17624.0
Burwood,42498.0
Byron,37126.0
Cabonne,13880.0
Camden,134811.0
Campbelltown (NSW),184784.0
Canada Bay,91385.0
Canterbury-Bankstown,379829.0
Carrathool,2765.0
Central Coast (NSW),351934.0
Central Darling,1757.0
Cessnock,67591.0
Clarence Valley,55323.0
Cobar,4078.0
Coffs Harbour,80489.0
Coolamon,4549.0
Coonamble,3861.0
Cootamundra-Gundagai,11424.0
Cowra,12659.0
Cumberland,245323.0
Dubbo,56558.0
Dungog,9767.0
Edward River,8430.0
Eurobodalla,40912.0
Fairfield,209742.0
Federation,12939.0
Forbes,9300.0
Georges River,158051.0
Gilgandra,4309.0
Glen Innes Severn,8989.0
Goulburn Mulwaree,32710.0
Greater Hume,11445.0
Griffith,27132.0
Gunnedah,13280.0
Gwydir,4940.0
Hawkesbury,68156.0
Hay,2830.0
Hilltops,19255.0
Hornsby,154072.0
Hunters Hill,14036.0
Inner West,188325.0
Inverell,18059.0
Junee,6520.0
Kempsey,31453.0
Kiama,23002.0
Ku-ring-gai,126983.0
Kyogle,9468.0
Lachlan,6147.0
Lake Macquarie,219249.0
Lane Cove,41549.0
Leeton,11431.0
Lismore,43907.0
Lithgow,20724.0
Liverpool,247672.0
Liverpool Plains,7667.0
Lockhart,3396.0
Maitland,95957.0
Mid-Coast,97909.0
Mid-Western,25921.0
Moree Plains,12873.0
Mosman,29071.0
Murray River,13326.0
Murrumbidgee,3607.0
Muswellbrook,16778.0
Nambucca Valley,20774.0
Narrabri,12754.0
Narrandera,5692.0
Narromine,6443.0
Newcastle,174294.0
North Sydney,72014.0
Northern Beaches,267921.0
Oberon,5600.0
Orange,44244.0
Parkes,14256.0
Parramatta,269145.0
Penrith,224483.0
Port Macquarie-Hastings,89596.0
Port Stephens,77748.0
Queanbeyan-Palerang,65369.0
Randwick,141840.0
Richmond Valley,23705.0
Ryde,135716.0
Shellharbour,79738.0
Shoalhaven,109895.0
Singleton,25332.0
Snowy Monaro,22132.0
Snowy Valleys,14935.0
Strathfield,47824.0
Sutherland,235029.0
Sydney,231086.0
Tamworth,65246.0
Temora,6029.0
Tenterfield,6973.0
The Hills,207959.0
Tweed,98967.0
Upper Hunter,14338.0
Upper Lachlan,8706.0
Uralla,6047.0
Wagga Wagga,68716.0
Walcha,2968.0
Walgett,5519.0
Warren,2583.0
Warrumbungle,9228.0
Waverley,71414.0
Weddin,3616.0
Wentworth,7688.0
Willoughby,77874.0
Wingecarribee,53109.0
Wollondilly,57616.0
Wollongong,219141.0
Woollahra,54660.0
Yass Valley,17477.0
Unincorporated NSW,1013.0
Total New South Wales,8342285.0
Albany,40949.0
Armadale,105094.0
Ashburton,8076.0
Augusta Margaret River,18620.0
Bassendean,16914.0
Bayswater,74283.0
Belmont,45976.0
Beverley,1768.0
Boddington,1786.0
Boyup Brook,1948.0
Bridgetown-Greenbushes,5669.0
Brookton,955.0
Broome,18611.0
Broomehill-Tambellup,1095.0
Bruce Rock,1043.0
Bunbury,34768.0
Busselton,43969.0
Cambridge,31133.0
Canning,103691.0
Capel,19335.0
Carnamah,579.0
Carnarvon,5528.0
Chapman Valley,1663.0
Chittering,6516.0
Claremont,12178.0
Cockburn,130282.0
Collie,9295.0
Coolgardie,3686.0
Coorow,1107.0
Corrigin,1029.0
Cottesloe,8695.0
Cranbrook,1149.0
Cuballing,951.0
Cue,231.0
Cunderdin,1322.0
Dalwallinu,1446.0
Dandaragan,3748.0
Dardanup,15685.0
Denmark,6618.0
Derby-West Kimberley,8433.0
Donnybrook-Balingup,6438.0
Dowerin,738.0
Dumbleyung,701.0
Dundas,701.0
East Fremantle,8222.0
East Pilbara,10401.0
Esperance,14547.0
Exmouth,3466.0
Fremantle,35157.0
Gingin,6064.0
Gnowangerup,1269.0
Goomalling,987.0
Gosnells,137355.0
Greater Geraldton,41914.0
Halls Creek,4136.0
Harvey,30790.0
Irwin,3842.0
Jerramungup,1213.0
Joondalup,169657.0
Kalamunda,62670.0
Kalgoorlie-Boulder,30775.0
Karratha,24237.0
Katanning,4290.0
Kellerberrin,1166.0
Kent,524.0
Kojonup,1967.0
Kondinin,858.0
Koorda,371.0
Kulin,794.0
Kwinana,52103.0
Lake Grace,1301.0
Laverton,1439.0
Leonora,1732.0
Mandurah,99272.0
Manjimup,9438.0
Meekatharra,1294.0
Melville,110426.0
Menzies,575.0
Merredin,3268.0
Mingenew,417.0
Moora,2392.0
Morawa,679.0
Mosman Park,10032.0
Mount Magnet,701.0
Mount Marshall,461.0
Mukinbudin,600.0
Mundaring,41421.0
Murchison,106.0
Murray,19823.0
Nannup,1632.0
Narembeen,833.0
Narrogin,4983.0
Nedlands,24127.0
Ngaanyatjarraku,1479.0
Northam,12193.0
Northampton,3369.0
Nungarin,256.0
Peppermint Grove,1736.0
Perenjori,649.0
Perth,32856.0
Pingelly,1084.0
Plantagenet,5669.0
Port Hedland,17247.0
Quairading,973.0
Ravensthorpe,2277.0
Rockingham,148822.0
Sandstone,116.0
Serpentine-Jarrahdale,36739.0
Shark Bay,1129.0
South Perth,46701.0
Stirling,243871.0
Subiaco,18870.0
Swan,171588.0
Tammin,404.0
Three Springs,593.0
Toodyay,4954.0
Trayning,303.0
Upper Gascoyne,201.0
Victoria Park,40782.0
Victoria Plains,824.0
Vincent,40125.0
Wagin,1816.0
Wandering,545.0
Wanneroo,229438.0
Waroona,4457.0
West Arthur,787.0
Westonia,244.0
Wickepin,701.0
Williams,1060.0
Wiluna,568.0
Wongan-Ballidu,1336.0
Woodanilling,479.0
Wyalkatchem,491.0
Wyndham-East Kimberley,8209.0
Yalgoo,357.0
Yilgarn,1198.0
York,3602.0
Total Western Australia(a),2881227.0
Christmas Island,1823.0
Cocos Islands,631.0
